1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
anthropogenic	(adj) เกี่ยวกับการศึกษาเรื่องการกำเนิดและการวิวัฒนาการของมนุษย์, ที่เกิดจากน้ำมือมนุษย์ เช่น The anthropogenic contribution to greenhouse gas has been established as an infinitesimally small amount., Related: R. anthropogenetic 
anti-transpirant spray	(n) สเปรย์ยับยั้งการคายน้ำ, Related: S.antitranspirant spray 
antibody	(n name) สารภูมิต้านทาน
apart from	(prep) เว้นเสียแต่ว่า เช่น What is the best war film apart from Saving Private Ryan and Black Hawk Down?
appeal	(vi vt) วิงวอน, ร้องขอ, อุทธรณ์
appearance	(n) ลักษณะภายนอก, การปรากฏตัว
aptitude test	(n) การสอบความถนัด เช่น An aptitude test can give you a blueprint for success based on your natural talents.
arbitration	(n) อนุญาโตตุลาการ
areola	(n) |pl. areolae| วงปานนม เช่น The areola often becomes more prominent during pregnancy.
aromatherapy	(n) สุคนธบำบัด หรือการบำบัดรักษาด้วยกลิ่นหอม
article number	(n) รหัสสินค้าที่มักแสดงเป็นบาร์โค้ด ซึ่งสามารถถูกอ่านเป็นตัวเลขและข้อมูลด้วยเครื่องคอมพิวเตอร์ได้
artificial preservative	(n phrase) สารเคมีกันเสีย
artificially	(adv) ปลอมๆ, ทำขึ้น, ไม่ใช่ของจริง
as well	(adv) อีกด้วย, Related: S. too, 
as well as	และ
ASEAN	(abbrev) สมาคมประชาชาติเอเชียตะวันออกเฉียงใต้ หรืออาเซียน
Asian Bond Fund	(n) กองทุนพันธบัตรเอเชีย
asphyxiate	(vi) หายใจไม่ออก, Related: S. suffocate 
asphyxiation	(n) อาการขาดอากาศหายใจ, Related: R. asphyxiate 
assimilate	(vt) ปรับตัว เช่น America is falling all over itself to assimilate to the Mexican culture.
assumption	(n) ฐานคติ
at a drop of a hat	|Idiom Amer.| ทันทีทันใด, อย่างรวดเร็ว, ในพริบตาเดียว (ถ้าเกี่ยวข้องกับความช่วยเหลือ แปลได้ว่า ด้วยความเต็มใจ) เช่น I am wondering who can fix my computer? - Call Bill. He will come at a drop of a hat.
at sixes and sevens	(phrase) ยุ่งเหยิง, สับสน, เละเทะ เช่น This company is left at sixes and sevens. So be careful when buying its shares.
ATC	(abbrev) การควบคุมจราจรทางอากาศ, ย่อมาจากคำว่า Air Traffic Control 
atherothrombotic	(n) ภาวะเส้นโลหิตแดงตีบเนื่องจากมีลิ่มเลือดในหลอดเลือด
Athlete's foot	โรคน้ำกัดเท้า, ฮ่องกงฟุต, Related: S. Tinea pedis, 
attendee	(n) ผู้เข้าร่วม (ในการประชุม, งานต่าง), Related: S. attendant 
attention deficit disorder	(n) โรคสมาธิสั้น เช่น According to the National Institute of Mental Health, attention deficit disorder (ADD) is a legitimate psychologic condition. , Related: S. ADD, attention deficit hyperactivity disorder (ADHD) 
attenuation	(n) การลด(แรง, ความดัน), ความอ่อนแรงลงของสัญญาณ(ตามระยะทาง)
Attorney General	(n) รัฐมนตรีกระทรวงยุติธรรม (ของสหรัฐฯ)
audiobook	(n) หนังสือเสียง, หนังสือที่มีคนอ่านให้เราฟัง เช่น I’m a latecomer to this whole Harry Potter thing, but am no less enthusiastic about the recent release of the final volume of Harry Potter audiobooks., Related: S.audio book 
authentication	(n) สัญลักษณ์หรือเครื่องหมายที่รับรองว่าเป็นของแท้หรือแสดงที่มา
authenticity	(n) ความถูกต้อง เช่น To ensure the authenticity of records, organizations should implement and document policies and procedures which control creation, receipt, and transmission.
automotive engineering	(n) วิศวกรรมยานยนต์
avian flu	(n) ไข้หวัดนก, Related: S. bird flu 
axil	(n) (ชีวะ)มุมด้านบนที่กิ่งไม้ทำมุมกับลำต้น, Related: axilla 
axillary	(adj) แห่งรักแร้, Related: R. axilla 
ayurveda	(n) อายุรเวช (มาจากสันสกฤต หมายความว่าความรู้ (เวช) เกี่ยวกับชีวิต (อายุร))
ayurvedic	(adj) เกี่ยวกับอายุรเวช
babe	(n) คนที่เป็นสุดที่รัก (ปกติหมายถึง เด็กทารกหรือคนที่ไร้เดียงสา), Related: S. darling, dear, sweetheart 
back off	(vi) ถอยหลัง, หมุนย้อนกลับ เช่น Back off! ถอยไป 
back-to-back	(adj) อย่างต่อเนื่อง, ติดๆกัน เช่น Japanese people are shocked by many back-to-back crimes against children., back-to-back meetings  , Related: S.consecutive 
backorder	(n vt) การสั่งซื้อสินค้าซึ่งยังไม่สามารถส่งมอบได้ในขณะนั้นเนื่องจากสินค้าหมด และผู้ขายจะส่งมอบได้เมื่อมีสินค้าพร้อมส่ง
ballot	(n) บัตรลงคะแนน เช่น Use these ballots when students are voting in a mock election or classroom election.
bandleader	(n) ผู้นำวง, วาทยากร, Related: S. conductor, music director, band leader 
Bangkok Metropolis	กรุงเทพมหานคร
barista	(n) นักชงกาแฟเอสเปรสโซ ผู้ที่ได้รับการฝึกฝนมาเพื่อชงกาแฟเอสเปรสโซ, Related: R. espresso 
baseboard	(n) บัวเชิงผนัง เช่น Changing the look of a room can be as simple as some changes in the trim work. Replacing baseboard is one easy place to start. 
basket of currencies	(n) ระบบตะกร้าเงิน
battle ground	(n) สนามรบ, สมรภูมิ
bayer pattern	(n) รูปแบบตารางแผ่นกรองหลากสี สำหรับปะหน้าตัวรับภาพที่แยกแยะได้เฉพาะค่าความสว่าง (เช่น CCD หรือ CMOS Sensor) เพื่อให้สามารถแยกแยะสีของภาพได้ โดยแผ่นกรองนี้จะยอมให้แสงสีที่กำหนดผ่านไปตกบนตัวรับภาพ ณ บริเวณที่กำหนดเท่านั้นbayer pattern ที่นิยมใช้กันมากในกล้องถ่ายภาพมี สองชนิด คือ RGB bayer pattern และ CMY bayer pattern ซึ่งยอมให้แสงสี Red-Green-Blue และ Cyan-Magenta-Yellow ไปตกบนตัวรับภาพได้ ตามลำดับชื่อของแบบตาราง มาจากชื่อของ Dr. Bayer นักวิทยาศาสตร์ของบริษัท Kodak ผู้คิดค้น, Related: CCD 
bedpan	(n) กระโถนสำหรับถ่ายของเสียของผู้ป่วย
beg	(vi vt) ขอ (อาหาร, เงิน, บริจาค, ความช่วยเหลือ)
begging bowl	(n) บาตรพระ เช่น With a begging bowl, a monk walks through a street market in Burma. This is his daily routine.
benzene	(n) สารประกอบอะโรมาติกไฮโดรคาร์บอนที่ประกอบด้วยคาร์บอนและไฮโดรเจนอย่างละหกอะตอม
benzine	(n) น้ำมันเบนซิน (น้ำมันที่กลั่นได้จากน้ำมันดิบ เป็นสารประกอบไฮโดรคาร์บอนที่ระเหยง่ายและติดไฟได้), Related: S. benzin, 
better off	(adj) อยู่ในสภาพที่ดีกว่าหรือได้เปรียบหลังจากที่บางสิ่งบางอย่างเกิดขึ้น เช่น The short answer to the question of whether the Iraqis are better off is that it's too early to declare.
billing note	(n) ใบวางบิล เช่น When I got my latest billing note, I went back and did some research. I did pay them twice. So, I sent off a note to customer service. 
biodegradable	(adj) ย่อยสลายได้ตามธรรมชาติ, ย่อยสลายในทางชีวภาพ
Bioinformatics	(n) ชีวสารสนเทศศาสตร์
biological diversity	(n) ความหลากหลายทางชีวภาพ
biologist	(n) นักชีววิทยา
biology	ชีววิทยา
biometry	(n) ชีวมิติ, ชีวสถิติศาสตร์ เช่น The datasets in this collection came from the book CASE STUDIES IN BIOMETRY., Related: S.biostatistics 
biosphere	(n) ชีวมณฑล, พื้นที่และชั้นบรรยากาศของโลกที่มีสิ่งมีชีวิตอาศัยอยู่
biotec	(org) ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติNational Center for Genetic Engineering and Biotechnology
bird flu	(n) ไข้หวัดนก, Related: influenza 
birthstone	(n) หินนำโชคประจำเดือนเกิด, Related: R. garnet, amethyst,bloodstone, aquamarine, diamond, emerald, pearl, ruby, sardonyx 
BJ	(slang) โอฐกาม, Related: S. blow job, oral sex, 
black box risk	ความเสี่ยงจากการไม่รู้จริงในสิ่งที่ลงทุน
black tea	(n) ชาจีน
black tie	(n) ชุดราตรีสโมสร
black tiger prawn	(n) กุ้งกุลาดำ, Related: S. giant tiger prawn, tiger prawn, leader prawn, grass prawn, 
blanching	(n) การลวกอาหาร (ใส่อาหารในน้ำเดือดจนสีเปลี่ยน) เช่น Instructions for preparation and freezing green beans, including blanching time and packing., Related: R.blanch 
blather	(n vi vt) เพ้อเจ้อ, Related: (also written as) blether 
blister	(n) แผลพุพอง
blister	(vi) ทำให้เจ็บปวด (อย่างกับเป็นแผลพุพอง)
blog	(n) เว็บไซด์ที่ให้บริการบันทึกข้อมูลส่วนตัว โดยอาจจะเป็นข้อความ, ความเห็น, ข้อคิด, อักษรประดิษฐ์, รูปภาพ, เสียงเพลง ก็ได้ ซึ่งบุคคลทั่วไปสามารถเข้ามาเยี่ยมชมตลอดจนสามารถใส่ความเห็นส่วนตัวต่อเจ้าของบันทึกได้, Related: S. online diary, weblog, web diary 
blow job	(slang) โอฐกาม, Related: S. oral sex, 
blow off steam	(vt phrase) ปลดปล่อยอารมณ์ (ที่เก็บกดไว้, ที่เก็บอัดไว้) เช่น How did you blow off steam after the first week of classes?
blue collar	(n) กรรมกร, ชนชั้นแรงงาน เช่น Does for blue-collar workers what legions of advice givers have done for white-collar workers for many years., Cooking has always been a blue-collar job - at its best, a craft. It's a craft that was well-regarded in France, where people have long taken their food seriously, but nevertheless it held a position in the social framework not different in kind from such jobs as seamstress or automobile mechanic. , Related: S. blue-collar,A. white collar, white-collar 
bog	(n slang) ห้องส้วม , Related: S. toilet, loo, 
bog	(n) ห้องส้วม เช่น We called them 'bogs' at school too. I tend to say 'loo' or 'toilet' now., Related: S. toilet, 
bolster	(n) หมอนข้างหรือหมอนอิงที่มีลักษณะยาวๆ, ฐานรองใบมีดเพื่อลดแรงเสียดทาน
bone meal	(n) กระดูกป่น, Related: S.ground bone 
bonobo	(n) ลิงในสปีชีส์ Pan paniscus คล้ายชิมแปนซีแต่ตัวเล็กกว่า พบในป่าประเทศซาอีร์, Related: S. pygmy chimpanzee, 
book keeper	(n) ผู้ทำบัญชี, นักบัญชี
book keeping	(n) การทำบัญชี, การบัญชี
bookstore	(n) ร้านหนังสือ
bottle cap	(n jargon) ฝาขวด, Related: crown cap 
bourgeoisie	ชนชั้นกระฎุมพี, ชนชั้นกลาง
boy	(n) เด็กผู้ชาย
bracket	(n) |โยธา| ฉาก, ฉากยึด, แป้นหูช้าง, แผ่นเหล็กหูช้าง, ที่เท้าแขน
brand new	(adj) ใหม่ล่าสุด
brasserie	(n) ร้านอาหารที่ให้บริการเครื่องดื่มแอลกอฮอล์รวมถึงอาหารทั่วไป, ร้านอาหารทีมี่ลักษณะเป็นกึ่งบาร์
breach of trust	(n) การทำผิดหน้าที่ที่ได้รับมอบหมาย
break up with so.	เลิกคบ
briefs	(n) |ใช้เป็นพหูพจน์| กางเกงใน, Related: S. underpants, underwear, 
brindle	(adj) เป็นลายเสือ(สีขนของสุนัขหรือแมว), มีริ้วลายสีเทา หรือน้ำตาล หรือมีสีมีเป็นลายๆ หรือเป็นหย่อมๆ มักใช้กับลวดลายของขนสัตว์จำพวกแมว
britches	(n) |pl| กางเกงขายาว, Related: S. trousers, breeches 
bronchospasm	(n) การบีบเกร็งของหลอดลม, Related: R. bronchus, bronchi, 
buck	(n colloq.) เงิน 1 ดอลล่าร์, Related: S. Dollar, 
bucket shop	(n slang) ร้านค้าหรือสำนักงานที่ขายตั๋วเครื่องบินราคาถูก 
buckpassing	(n adj) การปัดความรับผิดชอบ, ที่ปัดความรับผิดชอบ เช่น The most important one is the non-trust and buckpassing bureaucracy., The managers are active when there's benefit and buckpassing when things go bad., Related: R.avoiding 
bumper year	(n) ปีที่ผลผลิตอุดมสมบูรณ์ เช่น Another bumper year for soybean firm.; 2008 is set to be a bumper year for IT graduates.
burning time	ช่วงเวลาสำหรับเหล่าแม่มดที่โชคร้ายที่ถูกกดขี่ข่มเหงในยุคกลาง ซึ่งเหล่าแม่มดถูกใส่ร้าย ป้ายคำโป้ปดต่างๆ, เหล่าแม่มดถูกจับเผาทั้งเป็นในสก็อตแลนด์และภาคพื้นทวีปยุโรป ส่วนในอังกฤษและสหรัฐอเมริกา พวกเธอถูกจับแขวนคอ(ทั้งเป็น)
bus terminal	(n) ท่ารถ, สถานีต้นทางของรถบัสโดยสารประจำทาง, Related: S.bus station, bus depot 
bush telegraph	(slang) พูดกันให้แซ่ด(มักเกี่ยวกับการเคลื่อนไหวของตำรวจที่จะจับผู้ต้องสงสัยที่ซ่อนตัวอยู่(เปรียบเปรยดังเช่น ซ่อนอยู่หลังพุ่มไม้)) เช่น The police are baffled by the number and activity of the bush telegraphs.
business unit	(n) (คำย่อใช้ BU) หน่วยธุรกิจ
butterfly pea	(n) ดอกอัญชัญ
cabling	(n) การเดินสายเคเบิล, การวางสายไฟหรือสายเคเบิล
calrose rice	(n) พันธุ์ข้าวชนิดหนึ่งที่ปลูกในประเทศสหรัฐอเมริกา เมื่อหุงสุกแล้วจะให้กลิ่นรสที่ดี นุ่ม และเหนียว เหมาะในการทำซูชิ เช่น Calrose rice is sticky by American standards, while glutinous rice is much stickier.
canter	(vi) วิ่งโขยก, วิ่งเหยาะๆ
capability	(n) ความสามารถ, ขีดความสามารถ, ประสิทธิภาพ, สมรรถนะ, ปริมาณบรรจุ, Related: S.capableness, capacity 
capacity	(n) ความสามารถที่จะรับได้
carambola	(n) มะเฟือง
carambola	(n) มะเฟือง ผลไม้ไทยชนิดหนึ่ง ผลเป็น 5 แฉก มีทั้งพันธุ์หวาน และเปรี้ยว, Related: S.starfruit 
carbonisation	(n) การย่อยสลายของพืชไม้ที่ตายจนกลายเป็นถ่านหิน
cardinality	(n) จำนวนสมาชิกในเซ็ตทางคณิตศาสตร์ที่ให้มา
cashew nut	(n) มะม่วงหิมพานต์
cassava pellet	(n) มันสำปะหลังอัดเม็ด
casserole	(n) ชามก้นลึกหรือหม้อสำหรับอบหรือปิ้ง, อาหารอบหรือปิ้งจากภาชนะดังกล่าว, ชามเล็กๆ ที่ใช้ในห้องปฏิบัติการ, หม้อที่มีฝาปิดสำหรับต้มหรือเคี่ยว เช่น In the casserole dish, heat the water with the salt and pepper. 
cat	(n) แมว
cater to so.	(vi) จัดหามาเพื่อคนใดคนหนึ่งหรือคนกลุ่มหนึ่ง เช่น There is something for everyone on the Internet. Very few topics and specialties are not catered to on the web., The day television programs cater to housewives. 
catfish	(n) ปลาดุก
CCD	(n abbrev) ย่อมาจากคำว่า Charge Coupled Device เป็นอุปกรณ์สารกึ่งตัวนำ สำหรับแปลงสัญญาณแสงเป็นสัญญาณไฟฟ้า มักใช้เป็นอุปกรณ์รับภาพสำหรับกล้องถ่ายวิดีโอ กล้องถ่ายภาพนิ่งดิจิตอล และเครื่องอ่านภาพ (Scanner), Related: camera, CMOS sensor 
CCRC	ย่อมาจาก continuing care retirement community
cell phone	(n) คำย่อของ cellular phone (โทรศัพท์มือถือ), Related: cellular phone, mobile phone 
cellular phone	(n) โทรศัพท์มือถือ , Related: cell phone, mobile phone 
Central Bankruptcy Court	(n name org uniq) ศาลล้มละลายกลาง เป็นศาลชั้นต้นตามพระธรรมนูญศาลยุติธรรม ซึ่งมีลักษณะเป็นศาลชำนัญพิเศษ จัดตั้งขึ้นโดยพระราชบัญญัติจัดตั้งศาลล้มละลายและวิธีพิจารณาคดีล้มละลาย พ.ศ. 2542 โดยมีวัตถุประสงค์เพื่อให้คดีล้มละลายซึ่งมีลักษณะพิเศษแต่กต่างจากคดีแพ่ง ทั่วไป ได้รับการพิจารณาพิพากษาจากผู้พิพากษาที่มีความรู้ความชำนาญเป็นพิเศษ - อ้างอิงจากhttp://www.judiciary.go.th/bkcc/history.html
central role	(n) บทบาทสำคัญ เช่น EU believes UN has central role to play in Iraq crisis.
cephalopod	(n) สัตว์จำพวกหมึก
cerebral cortex	(n phrase) ส่วนนอกของสมองใหญ่
cerebral infraction	(n phrase) อาการสมองตายเนื่องจากขาดเลือดหล่อเลี้ยง
CERIAS	(n) ศูนย์การศึกษาและวิจัย ด้านการรับรองและรักษาความปลอดภัยด้านข้อมูล ย่อมาจาก The Center for Education and Research in Information Assurance and Security 
chabad	(n) ย่อมาจากคำว่า Chabad House เป็นสถานนมัสการของชาวยิวนิกาย Chabad Lubavitch ซึ่งมีลักษณะกึ่งโรงแรม, Related: S. Synagouge, 
chamber pot	(n) กระโถนฉี่ เช่น The history of the chamber pot predates that of indoor plumbing and flush toilets.
Chancellor	(n) นายกรัฐมนตรี (ของสหพันธ์สาธารณรัฐเยอรมนี  และของสาธารณรัฐออสเตรีย)
Chancellor of the Exchequer	(n) รัฐมนตรีว่าการกระทรวงการคลังของอังกฤษ
chatroom	(n) ห้องคุย สนทนา บนอินเตอร์เนต
cheese grater	(n) ที่ขูดเนยแข็ง
cherry on top	ของพิเศษ, สิ่งพิเศษ เช่น All of a sudden, the awards come along and it's like a cherry on top of a great season.
chicken out	(vi colloq) ปอดแหก, ไม่ทำบางอย่างเพราะไม่กล้าหรือกลัว
chin up	(idiom) สู้เขา! เชิดหน้าเข้าไว้! (เป็นคำที่ใช้เวลาให้กำลังใจผู้อื่น), Related: S.Keep your chin up. 
chinese opera	(n) อุปรากรจีน, งิ้ว
chromatic aberration	(n) อาการที่ปรากฏแถบสีที่ไม่ต้องการ(มักจะเป็นสีม่วง หรือแดง)ในภาพ ณ บริเวณที่มีความสว่างแตกต่างกันมาก เช่น รอยต่อระหว่างท้องฟ้ากับวัตถุด้านหน้า เกิดจากการที่แสงสีต่างๆมีดัชนีความหักเหของแสงต่างกัน เมื่อแสงสีขาวส่องผ่านเลนส์ จึงตกกระทบบนฟิล์มเป็นบริเวณกว้างกระจายเป็นสีรุ้ง เลนส์ถ่ายภาพคุณภาพสูง มักถูกออกแบบให้มีโครงสร้างชิ้นเลนส์ซับซ้อน เพื่อแก้ไขอาการนี้
CIFS	(org) สถาบันนิติวิทยาศาสตร์ กระทรวงยุติธรรม (Central Institute of Forensic Science)
cirro	ชั้นสูง (เป็น prefix ของเมฆที่มีระดับความสูงตั้งแต่ 20,000 ฟุต ขึ้นไป) 
CIS	(n) กลุ่มประเทศเครือรัฐเอกราช (Commonwealth of Independent States) คือ กลุ่มประเทศที่แยกตัวออกจากสหภาพโซเวียต
CITES	(abbrev) CITES (อ่านว่า ไซเตส) ย่อมาจาก The Convention of International Trade in endangered spicies of Wild Fauna and Flora หมายถึง อนุสัญญาว่าด้วยการค้าระหว่างประเทศ ซึ่งห้ามการค้าชนิดสัตว์และพืชป่าที่ใกล้สูญพันธุ์
civil disobedience	(n) ลัทธิดื้อแพ่ง/อารยะขัดขืน, เป็นการปฏิเสธที่จะปฏิบัติตามกฏหมายบางมาตรา ด้วยเหตุผลที่ว่ากฎหมายนั้นๆ ไม่ชอบธรรม
civil service system	(n phrase) ระบบข้าราชการพลเรือน
civil society	(n) ประชาสังคม เป็นการรวมกลุ่มของประชาชนโดยมีจิตสำนึกร่วมกันเพื่อแก้ปัญหาของสังคม เช่น Civil society is much talked about, but rarely understood. John Edwards explores the practical and theoretical significance of civil society. 
civilizer	(n) ผู้ที่มีความเจริญ, ผู้ทำให้เกิดความเจริญรุ่งเรือง เช่น Some other called him civilizer and even God! All of them yet, called him "The Great". He was the first man in modern history that took this name., Related: R. civilize 
clear cut	(adj) ชัดเจน, เด่นชัด เช่น There isn’t any clear cut way of distinguishing Thai people from Chinese people., Related: S. clear-cut, 
clearance	(n) การทำให้หมดไป, การกวาดล้าง, Related: S. removal, 
clipping	(n) กฤตภาค, ข่าวในหนังสือพิมพ์ที่ตัดเป็นชิ้นๆ เช่น The company is a public relations supplier of media directories, media software, press clippings, Internet clipping, media lists and news. 
clothing material	(n) พัสตราภรณ์, เครื่องนุ่งห่ม
co-host	(n) เจ้าภาพร่วม
coagulant	(n) ตัวหรือสารที่ทำให้เกิดการเกาะเป็นก้อน
cobbled street	(n) ถนนที่ถูกปูเรียงด้วยหินก้อนโตๆมักพบเห็นได้ตามเมืองเก่าๆในยุโรปแสดงถึงความเจริญของเมืองนั้น เช่น A cobbled street in a historic city of Lincoln, England.; Pedestrians make their way down a cobbled street in this high-speed clip, with cars buzzing by.
